order_date,stock_date,order_number,product_key,customer_key,territory_key,order_line_item,order_quantity
8/3/2025,11/29/2003,SO61387,223,28253,4,2,1
8/3/2025,10/10/2003,SO61381,362,12623,10,1,1
8/3/2025,11/18/2003,SO61381,537,12623,10,2,1
8/3/2025,9/23/2003,SO61395,477,17699,1,1,2
8/3/2025,12/12/2003,SO61395,484,17699,1,3,2
8/3/2025,12/8/2003,SO61395,487,17699,1,2,1
8/3/2025,11/14/2003,SO61427,606,27512,9,1,1
8/3/2025,12/9/2003,SO61374,215,13046,9,1,1
8/3/2025,9/18/2003,SO61382,477,15697,8,4,2
8/3/2025,10/22/2003,SO61382,478,15697,8,3,2
8/3/2025,10/6/2003,SO61382,485,15697,8,2,2
8/3/2025,12/11/2003,SO61382,362,15697,8,1,1
8/3/2025,9/14/2003,SO61391,530,16497,6,2,2
8/3/2025,11/7/2003,SO61391,541,16497,6,1,2
8/3/2025,11/11/2003,SO61401,223,20740,6,2,2
8/3/2025,11/11/2003,SO61401,485,20740,6,1,2
8/3/2025,10/28/2003,SO61401,226,20740,6,3,1
8/3/2025,10/24/2003,SO61375,215,13150,9,1,1
8/3/2025,9/29/2003,SO61383,485,14429,10,2,3
8/3/2025,12/18/2003,SO61383,356,14429,10,1,1
8/3/2025,11/20/2003,SO61383,487,14429,10,3,1
8/3/2025,12/2/2003,SO61417,387,17734,9,1,1
8/3/2025,10/31/2003,SO61397,477,25002,6,1,2
8/3/2025,9/17/2003,SO61414,220,14449,1,2,1
8/3/2025,10/12/2003,SO61414,354,14449,1,1,1
8/3/2025,11/12/2003,SO61423,529,13559,8,2,2
8/3/2025,11/19/2003,SO61423,538,13559,8,3,2
8/3/2025,10/25/2003,SO61423,220,13559,8,4,1
8/3/2025,9/19/2003,SO61423,606,13559,8,1,1
8/3/2025,10/10/2003,SO61426,477,27500,9,3,2
8/3/2025,11/24/2003,SO61426,479,27500,9,2,2
8/3/2025,10/9/2003,SO61426,214,27500,9,4,1
8/3/2025,10/19/2003,SO61426,606,27500,9,1,1
8/3/2025,10/3/2003,SO61392,535,26687,1,1,2
8/3/2025,12/6/2003,SO61406,528,21522,7,1,2
8/3/2025,11/22/2003,SO61406,536,21522,7,2,2
8/3/2025,9/30/2003,SO61406,215,21522,7,3,1
8/3/2025,11/1/2003,SO61406,488,21522,7,4,1
8/3/2025,10/6/2003,SO61412,223,12079,4,6,2
8/3/2025,11/4/2003,SO61412,477,12079,4,5,2
8/3/2025,11/19/2003,SO61412,478,12079,4,4,2
8/3/2025,9/8/2003,SO61412,485,12079,4,3,2
8/3/2025,10/24/2003,SO61412,362,12079,4,1,1
8/3/2025,11/1/2003,SO61412,488,12079,4,7,1
8/3/2025,10/16/2003,SO61412,537,12079,4,2,1
8/3/2025,11/15/2003,SO61408,529,26915,10,1,2
8/3/2025,9/26/2003,SO61408,487,26915,10,2,1
8/3/2025,10/2/2003,SO61378,223,18270,9,1,2
8/3/2025,11/21/2003,SO61396,477,25328,6,1,2
8/3/2025,11/18/2003,SO61396,220,25328,6,2,1
8/3/2025,10/27/2003,SO61396,235,25328,6,3,1
8/3/2025,12/2/2003,SO61422,530,12986,6,2,2
8/3/2025,10/13/2003,SO61422,220,12986,6,4,1
8/3/2025,10/11/2003,SO61422,541,12986,6,3,1
8/3/2025,12/14/2003,SO61422,563,12986,6,1,1
8/3/2025,9/16/2003,SO61390,541,27458,4,1,2
8/3/2025,10/13/2003,SO61390,220,27458,4,3,1
8/3/2025,10/27/2003,SO61390,530,27458,4,2,1
8/3/2025,9/20/2003,SO61384,529,11086,4,1,3
8/3/2025,11/13/2003,SO61384,232,11086,4,2,1
8/3/2025,12/7/2003,SO61402,466,14254,4,3,3
8/3/2025,12/15/2003,SO61402,485,14254,4,1,2
8/3/2025,9/26/2003,SO61402,220,14254,4,2,1
8/3/2025,12/6/2003,SO61393,529,16085,6,2,3
8/3/2025,11/26/2003,SO61393,214,16085,6,3,1
8/3/2025,12/8/2003,SO61393,540,16085,6,1,1
8/3/2025,10/3/2003,SO61424,220,22674,8,2,1
8/3/2025,10/17/2003,SO61424,606,22674,8,1,1
8/3/2025,10/13/2003,SO61405,484,16943,8,3,2
8/3/2025,12/4/2003,SO61405,528,16943,8,2,2
8/3/2025,12/2/2003,SO61405,535,16943,8,1,2
8/3/2025,11/12/2003,SO61421,223,13284,6,1,2
8/3/2025,10/7/2003,SO61421,576,13284,6,2,1
8/3/2025,11/11/2003,SO61403,528,14942,7,1,2
